layers,branching factor,size,average error,max error,binary,front,measured
"cubic,linear",256,35072,3021061.25,7036004,True,True,960.045
"linear,linear",384,52352,1820214.5,6501855,True,False,965.576
"linear,linear",256,34944,2571956.5,7333185,True,False,986.079
"linear,linear",256,34944,2571956.5,7333185,True,False,986.079
"cubic,linear",192,26368,1618965.375,16849861,True,True,1007.5
"radix,linear",512,69760,2915223.5,8812405,True,False,1009.06
"bradix,linear",256,35008,2915223.5,8812405,True,False,1013.65
"cubic,linear",128,17664,2097152.0,12807979,True,False,1027.44
"cubic,linear",128,17664,2097152.0,12807979,True,False,1027.44
"linear,linear",192,26240,3737480.0,14195424,True,False,1031.19
"linear,linear",128,17536,2339913.25,11492692,True,False,1040.83
"linear,linear",128,17536,2339913.25,11492692,True,False,1040.83
"normal,linear",128,17600,3185061.75,6750586,True,False,1062.06
"radix,linear",256,34944,6668574.0,21439421,True,False,1070.8
"bradix,linear",128,17600,6668574.0,21439421,True,False,1081.62
"linear,linear",64,8832,4195381.5,47212089,True,True,1128.41
"cubic,linear",64,8960,8388608.0,28639416,True,False,1129.55
"radix,linear",128,17536,16777216.0,48362559,True,False,1145.32
