layers,branching factor,average error,average error %,max error,max error %,size binary search,size linear search,namespace,binary,measured,front
"bradix,linear",128,6668574.0,10.7197105,21439421,10.7197105,17600,16576,nmb963040fb420389a7050,True,1081.62,False
"loglinear,cubic",65536,70022.734375,0.2231035,446207,0.2231035,17301632,16777344,nmcea3ec04f9b05c623265,True,637.485,False
"radix,linear",128,16777216.0,24.1812795,48362559,24.1812795,17536,16512,nmd588b1b0c08d9bced908,True,1145.32,False
"bradix,linear",262144,17674.291015625,0.371465,742930,0.371465,35651776,33554624,nmd59258c0698fd919fa11,True,457.612,True
"normal,cubic",131072,22498.76171875,0.11109799999999999,222196,0.11109799999999999,34603200,33554624,nmdad8e59ea154aa966f55,True,543.742,False
"linear,linear",512,708401.5625,1.9659395,3931879,1.9659395,69760,65664,nmdaf226140f14c8dbb3d6,True,924.556,True
"cubic,linear",1024,1048576.0,1.680674,3361348,1.680674,139520,131328,nmdcd20e2971166bf6d08e,True,853.902,True
"bradix,linear",2097152,3642.853515625,0.1107575,221515,0.1107575,285212864,268435648,nmddf63c743a35ed6a82af,True,344.845,True
"radix,linear",524288,17674.291015625,0.371465,742930,0.371465,71303296,67108992,nme1f8408423add6b16741,True,460.819,False
"cubic,cubic",1024,700951.0625,1.5769354999999998,3153871,1.5769354999999998,270592,262400,nme8f4246f1c490abe1a52,True,875.468,False
"radix,linear",65536,55305.2109375,0.4935005,987001,0.4935005,8913024,8388736,nmea9ba934de324339f937,True,588.836,True
"cubic,cubic",65536,38871.64453125,0.2120735,424147,0.2120735,17301760,16777472,nmedae55b59cf40eea5366,True,549.692,False
"bradix,cubic",2048,524288.0,1.2849655,2569931,1.2849655,540864,524480,nmf11f77c4134bd0842dcc,True,854.067,False
"radix,linear",1048576,8192.0,0.10410549999999999,208211,0.10410549999999999,142606464,134217856,nmf2c22e783a9fbad163ee,True,410.886,True
"linear,linear",256,2571956.5,3.6665925,7333185,3.6665925,34944,32896,nmf80200ea7a28f76841dd,True,986.079,True
"loglinear,cubic",2048,747896.625,1.5079835,3015967,1.5079835,540800,524416,nmfa3761b0b6344ed182eb,True,895.781,False
"radix,linear",131072,49939.53515625,0.989075,1978150,0.989075,17825920,16777344,nmfb46592bac8a40652a28,True,540.68,True
