layers,branching factor,average error,average error %,max error,max error %,size binary search,size linear search,namespace,binary,inference,pred_time_lin,pred_time_bin,pred_time,star,front
"cubic,cubic",4096,456238.5,1.124724,2249448,1.124724,1081600,1048832,nma679147623cdf403f777,True,28.15077,3004.657687,357.16517000000005,357.16517000000005,False,False
"cubic,cubic",32768,58236.359375,0.375388,750776,0.375388,8651008,8388864,nmace4c89722879d428926,True,33.00617,3009.513087,333.0641,333.0641,False,False
"linear,linear",16384,112764.984375,0.6558805,1311761,0.6558805,2228352,2097280,nmb2688bca6d27eafae305,True,30.63906,3007.1459769999997,344.72039099999995,344.72039099999995,False,False
"linear,cubic",131072,42560.8671875,0.9857279999999999,1971456,0.9857279999999999,34603136,33554560,nmb468a41661e97b7124fd,True,46.10563,3022.6125469999997,365.723008,365.723008,False,False
"linear,linear",2048,267710.9375,2.5168185,5033637,2.5168185,278656,262272,nmb4d9b18fb50dae7ef63a,True,29.13472,3005.6416369999997,379.928777,379.928777,False,False
"radix,cubic",262144,22327.494140625,0.1717365,343473,0.1717365,69206144,67108992,nmb653a33661ad159ddd20,True,29.61887,3006.1257869999995,317.130777,317.130777,False,True
"normal,linear",4096,269559.4375,1.460874,2921748,1.460874,557248,524480,nmb74c6740f141d3e6e4a9,True,36.0142,3012.521117,372.356381,372.356381,False,False
"normal,linear",256,1608379.125,4.7028485,9405697,4.7028485,35008,32960,nmbf31594bb2ccaa533285,True,34.39635,3010.9032669999997,397.020047,397.020047,False,False
"loglinear,cubic",65536,70022.734375,0.2231035,446207,0.2231035,17301632,16777344,nmcea3ec04f9b05c623265,True,41.19999,3017.706907,332.546985,332.546985,False,True
"cubic,cubic",256,1508875.0,3.8661975,7732395,3.8661975,67840,65792,nmd39f86cd35746155dd4b,True,26.34202,3002.8489369999998,379.850738,379.850738,False,False
"bradix,linear",262144,17674.291015625,0.371465,742930,0.371465,35651776,33554624,nmd59258c0698fd919fa11,True,30.82743,3007.3343469999995,330.88536,330.88536,True,True
"normal,cubic",131072,22498.76171875,0.11109799999999999,222196,0.11109799999999999,34603200,33554624,nmdad8e59ea154aa966f55,True,51.48161,3027.9885269999995,324.787677,324.787677,False,True
"linear,linear",512,708401.5625,1.9659395,3931879,1.9659395,69760,65664,nmdaf226140f14c8dbb3d6,True,28.30751,3004.814427,368.253556,368.253556,False,True
"bradix,linear",2097152,3642.853515625,0.1107575,221515,0.1107575,285212864,268435648,nmddf63c743a35ed6a82af,True,40.47804,3016.9849569999997,313.784107,313.784107,True,True
"linear,cubic",256,1402598.5,3.054369,6108738,3.054369,67712,65664,nmde6e6b43877243804273,True,30.0192,3006.526117,381.448958,381.448958,False,False
"cubic,linear",32768,95263.4765625,0.8781295,1756259,0.8781295,4456704,4194560,nmdf834f1da40372581102,True,28.15793,3004.6648469999996,346.138895,346.138895,False,False
"normal,cubic",262144,13311.6845703125,0.1048955,209791,0.1048955,69206208,67109056,nme18108631d4e9f5ed35f,True,58.69648,3035.2033969999998,332.002547,332.002547,False,False
"loglinear,cubic",512,2097152.0,9.9136565,19827313,9.9136565,135296,131200,nme361bb3d992408ffc1ed,True,32.27778,3008.7846969999996,406.754443,406.754443,False,False
"loglinear,cubic",16384,177274.65625,0.514307,1028614,0.514307,4325504,4194432,nme536c0a82c7242794975,True,36.71722,3013.2241369999997,342.60641499999997,342.60641499999997,False,False
"normal,linear",1048576,5886.841796875,0.086714,173428,0.086714,142606528,134217920,nme97f8da17d6e2285b9f7,True,69.87872,3046.385637,341.459929,341.459929,False,False
"bradix,cubic",4096,364816.21875,1.7833310000000002,3566662,1.7833310000000002,1081536,1048768,nmef5662eafdba12d63fc0,True,25.49507,3002.0019869999996,361.783663,361.783663,False,False
"bradix,cubic",1048576,6655.671875,0.041742,83484,0.041742,276824256,268435648,nmf01416da7a96aca7b1d9,True,41.30812,3017.815037,297.596543,297.596543,False,False
"bradix,cubic",2048,524288.0,1.2849655,2569931,1.2849655,540864,524480,nmf11f77c4134bd0842dcc,True,25.12306,3001.6299769999996,356.33530800000005,356.33530800000005,False,True
"linear,cubic",16384,98488.484375,0.8976329999999999,1795266,0.8976329999999999,4325504,4194432,nmf1ecc47e009b86b6da49,True,34.45437,3010.9612869999996,352.43533499999995,352.43533499999995,False,False
"radix,cubic",256,4194304.0,10.9127315,21825463,10.9127315,67712,65664,nmf271702425ffa2bdac90,True,22.15916,2998.666077,398.571255,398.571255,False,False
"radix,linear",1048576,8192.0,0.10410549999999999,208211,0.10410549999999999,142606464,134217856,nmf2c22e783a9fbad163ee,True,30.14169,3006.6486069999996,303.44775699999997,303.44775699999997,True,True
"linear,cubic",4096,243371.578125,1.1878514999999998,2375703,1.1878514999999998,1081472,1048704,nmf387a540c679ebb305e2,True,32.27441,3008.7813269999997,361.28881,361.28881,False,False
"loglinear,cubic",256,3001777.0,12.5284635,25056927,12.5284635,67712,65664,nmf4d26ab3731fd24091cb,True,31.48049,3007.9874069999996,409.183475,409.183475,False,False
"cubic,cubic",16384,101285.6015625,0.5689695,1137939,0.5689695,4325632,4194560,nmf5cd2804c238e756b3e9,True,30.72312,3007.230037,341.251522,341.251522,False,False
"linear,linear",256,2571956.5,3.6665925,7333185,3.6665925,34944,32896,nmf80200ea7a28f76841dd,True,27.6802,3004.1871169999995,381.26251,381.26251,False,True
"radix,cubic",32768,137028.09375,0.7145015,1429003,0.7145015,8650880,8388736,nmf87d76cea1e3fd7acabb,True,25.28974,3001.796657,340.985814,340.985814,False,False
"normal,cubic",256,1468912.25,3.2217339999999997,6443468,3.2217339999999997,67776,65728,nmf8ec02f2decddd4c386a,True,35.43127,3011.9381869999997,387.544251,387.544251,False,False
"radix,linear",131072,49939.53515625,0.989075,1978150,0.989075,17825920,16777344,nmfb46592bac8a40652a28,True,24.34186,3000.8487769999997,343.95923799999997,343.95923799999997,True,True
"linear,cubic",2097152,39277.17578125,1.2376245,2475249,1.2376245,553648256,536871040,nmfca800d83e9bc6a3ec84,True,87.49591,3064.002827,418.708158,418.708158,False,False
"linear,linear",32768,76275.4765625,0.655866,1311732,0.655866,4456576,4194432,nmfcc5175d0d33367864b2,True,31.9512,3008.4581169999997,346.03253099999995,346.03253099999995,False,False
