layers,branching factor,average error,average error %,max error,max error %,size binary search,size linear search,namespace,binary,inference,pred_time_lin,pred_time_bin,pred_time,star,front
"bradix,linear",65536,49939.53515625,0.989075,1978150,0.989075,8913088,8388800,nm922ce4cd4c438b55f2a6,True,26.6491,3003.156017,346.26647799999995,346.26647799999995,True,True
"cubic,cubic",524288,10124.0126953125,0.0537045,107409,0.0537045,138412288,134217984,nm94a5a184c7146a98752c,True,58.88096,3035.3878769999997,317.721783,317.721783,False,False
"linear,linear",65536,58199.09765625,0.6558465,1311693,0.6558465,8913024,8388736,nm953abf6dfb01eeb62cbc,True,33.62084,3010.1277569999997,347.70217099999996,347.70217099999996,False,False
"bradix,cubic",524288,8597.1376953125,0.041092000000000004,82184,0.041092000000000004,138412224,134217920,nm955433f1b9fb8f340799,True,37.58941,3014.0963269999997,293.87783299999995,293.87783299999995,False,True
"cubic,cubic",128,2450106.5,8.532173,17064346,8.532173,34048,33024,nm9acb238ad70b5485ebc3,True,26.40406,3002.9109769999995,398.492871,398.492871,False,False
"radix,cubic",8192,364816.21875,1.7833310000000002,3566662,1.7833310000000002,2162816,2097280,nm9ad223717735eeb67c2f,True,24.01084,3000.5177569999996,360.299433,360.299433,False,False
"linear,cubic",128,2097152.0,5.4932300000000005,10986460,5.4932300000000005,33920,32896,nma3d4334e8c1a09eb2038,True,29.4011,3005.9080169999997,393.80393499999997,393.80393499999997,False,False
"bradix,linear",8192,242531.0,0.640173,1280346,0.640173,1114304,1048768,nma5b9c9866987e4ab8e1c,True,24.35697,3000.8638869999995,338.43830099999997,338.43830099999997,True,True
"linear,cubic",1024,655261.6875,2.6839315,5367863,2.6839315,270464,262272,nmaad476e305e2c5b8b7b4,True,30.38034,3006.887257,379.802036,379.802036,False,False
"normal,linear",32768,74507.2421875,0.5348435,1069687,0.5348435,4456640,4194496,nmaaea9a0f5f743578b6a5,True,38.7651,3015.272017,344.654295,344.654295,False,False
"histogram,cubic",64,740898.375,1.4308174999999999,2861635,1.4308174999999999,67129984,67129472,nmafb3e788b694e4c8a67a,True,36.8755,3013.382417,373.21768099999997,373.21768099999997,False,False
"linear,cubic",8192,162505.84375,1.2379095,2475819,1.2379095,2162816,2097280,nmb05725297db97f6bdb27,True,32.72475,3009.2316669999996,363.936998,363.936998,False,False
"histogram,cubic",256,186362.0,0.34144399999999997,682888,0.34144399999999997,67192960,67190912,nmb3d3c79f0c5c2856da2a,True,37.79849,3014.305407,336.306621,336.306621,False,False
